s,sim_x_interp,sim_y_interp,real_x_interp,real_y_interp,sim_x_norm,sim_y_norm,real_x_norm,real_y_norm,point_error_sq
0.0,0.0,0.0,0.0,0.0,0.0003985579035994653,0.9999979904979319,0.0003985579035994653,0.9999979904979319,0.0
0.002004008016032064,0.011711069366962264,0.0005665621030228122,7.1069861018851475,-0.41805800599324394,0.0004322076963314079,0.9999993723539429,0.02081928992930899,0.9989783388737737,0.0004166756313418165
0.004008016032064128,0.023433005456225176,0.0008238975035678946,14.213972203770295,-0.8361160119864879,0.00046588871276646713,1.0,0.04124002195501851,0.9979586872496158,0.0016666968994018042
0.0060120240480961915,0.03515763804769167,0.0007700500300235253,21.31999828339827,-1.2699998927123919,0.0004995774771481407,0.9999998686649627,0.061657995517861865,0.9969004360085538,0.0037499585800343117
0.008016032064128256,0.046876638567829754,0.0004028261771165658,28.425405368695763,-1.7140878355434852,0.0005332500587179024,0.9999989729988285,0.0820741905043626,0.9958172968611504,0.006666411384080601
0.01002004008016032,0.05858150357839719,-0.0002797040053620999,35.52533682504679,-1.7704239249957463,0.0005668820242728231,0.9999973082944116,0.10247465218988525,0.9956798920410412,0.010403833703232153
0.012024048096192383,0.07026353765392654,-0.0012795254451041529,42.615370755114505,-1.1258753858986814,0.0006004483889668971,0.9999948697104346,0.1228466749944179,0.9972519584895179,0.014951663481237104
0.014028056112224447,0.08191385654532453,-0.0025984130511428048,49.72893222699903,-1.0,0.000633923625401114,0.9999916529178596,0.1432863002424867,0.9975589710089126,0.02035561849577295
0.01603206412825651,0.0935233442033393,-0.004238235630696067,56.84820353442676,-1.0,0.0006672815401376037,0.9999876533586296,0.1637423317448899,0.9975589710089126,0.02659937049723831
0.018036072144288574,0.10508265233878304,-0.006200743819653451,63.86526504828906,-2.099737196554199,0.0007004952724360092,0.9999828667629094,0.18390468055608183,0.9948766905537173,0.03358984654092375
0.02004008016032064,0.1165821744305758,-0.008487632357481121,70.86259880759933,-3.411737276424874,0.0007335372195699619,0.9999772889971964,0.20401034497484627,0.9916766967893178,0.041390360402177064
0.022044088176352703,0.12801199944673194,-0.011100631836291558,77.91721667456363,-4.279801191040259,0.0007663789038521029,0.9999709158405427,0.22428060566479585,0.9895594719838565,0.0500670077277235
0.024048096192384766,0.13936195847913133,-0.014041188938059139,85.01839577661275,-4.7870282697580535,0.0007989911066312711,0.999963743764463,0.24468465225087951,0.9883223352535055,0.059615738103886075
0.026052104208416832,0.15062150920980105,-0.017310856277295412,92.04986744690592,-5.809973489381184,0.0008313435363257515,0.9999557689821,0.2648884062285801,0.9858273519266454,0.06992574452615402
0.028056112224448895,0.16177982673380759,-0.020910844135739244,99.03088731597038,-7.206177463194075,0.0008634050893876149,0.999946988541553,0.28494719542116137,0.9824219832238695,0.08101072574065203
0.03006012024048096,0.17282561248553557,-0.024842549614513133,106.0033736025127,-8.643580057681291,0.0008951433012844422,0.9999373990352651,0.30498146479628335,0.9789161302823483,0.09291038466034221
0.03206412825651302,0.18374729467874318,-0.02910684892435886,112.96461427338755,-10.135274487154476,0.0009265249224301901,0.9999269983261414,0.32498342178177675,0.9752778584972016,0.10562045249641581
0.03406813627254509,0.1945327496180277,-0.03370478589861875,119.87714527570077,-11.822041507343078,0.000957515117420451,0.9999157838682519,0.3448454197080432,0.9711638008615264,0.11908556745054832
0.03607214428857715,0.20516953586574038,-0.03863687262636167,126.72249512754472,-13.777855750727062,0.0009880781378717894,0.9999037544126015,0.364514383871299,0.9663935318050113,0.13327430997940343
0.038076152304609215,0.2156446379948988,-0.043903614003922536,133.45466788055867,-16.05200052023944,0.0010181765861387339,0.999890908727738,0.3838581526319576,0.9608468483913192,0.14809088590631708
0.04008016032064128,0.22594461257937853,-0.049505083177415116,139.99831072013106,-18.85641888005616,0.0010477718347920958,0.9998772466352567,0.4026602123212844,0.9540068173563626,0.16339664863574635
0.04208416833667334,0.23605543105932136,-0.05544114756176305,146.57986198639077,-21.564236423710987,0.0010768235751190873,0.9998627684585352,0.42157119551373906,0.9474023975946799,0.17956760734322771
0.044088176352705406,0.24596259562699294,-0.061711167078579245,153.28437815661005,-23.958706484503583,0.0011052901501018865,0.9998474757587371,0.4408354977244565,0.9415622384505334,0.1967598243414586
0.04609218436873747,0.25565098743912396,-0.068314168566771,159.96516603384353,-26.41364258593294,0.0011331281182812708,0.9998313709094214,0.4600316206668394,0.93557460145485,0.214716758884077
0.04809619238476953,0.265104997458022,-0.07524855722165139,166.5088088734159,-29.21806094574966,0.0011602926297065966,0.9998144578003477,0.4788336803561661,0.9287345704198935,0.23322421573209057
0.0501002004008016,0.27430833862836856,-0.0825123045125583,173.05024475563627,-32.02705486841954,0.0011867368862573413,0.9997967413791419,0.49762939872386497,0.9218833794979646,0.2525258084520365
0.052104208416833664,0.28324418951545355,-0.09010265856257997,179.31855739433155,-35.4023001354093,0.0012124125543634683,0.9997782283576854,0.5156403432808286,0.9136510905115564,0.272053979785079
0.05410821643286573,0.29189524820333806,-0.09801603125201475,185.58687003302683,-38.77754540239906,0.0012372699198727544,0.9997589274874719,0.5336512878377923,0.905418801525148,0.29236474584208993
0.05611222444889779,0.3002434328709182,-0.10624824998802752,191.77386605995136,-42.299352034257915,0.0012612570277063509,0.9997388489455369,0.5514285827555975,0.8968290465134866,0.3132745137351831
0.058116232464929855,0.30827042266477067,-0.1147939118344757,197.9551245495489,-45.83149974259938,0.0012843212359661487,0.9997180059097469,0.5691893918226409,0.8882140694147469,0.33494929705193716
0.06012024048096192,0.31595711596301934,-0.1236468721111721,203.9169924545704,-49.711764007010274,0.0013064076593469003,0.9996964133670965,0.5863198188582065,0.8787500292513033,0.35686871911321105
0.06212424849699398,0.3232842496684976,-0.13279960323938056,209.77040173373106,-53.764124277198434,0.001327460948571207,0.9996740896774969,0.6031386082315016,0.8688662435757867,0.37928734959576565
0.06412825651302605,0.33023198252630953,-0.14224352068640148,215.65527056538787,-57.77018037692524,0.001347424093122448,0.999651055778791,0.6200477913500442,0.8590953946744483,0.4025460383123286
0.06613226452905811,0.3367803924339694,-0.15196854253193087,221.57886235220406,-61.71924156813604,0.0013662398501820198,0.9996273362609787,0.637068238382603,0.8494635574657551,0.426666191400175
0.06813627254509018,0.34290932214854586,-0.16196319570226073,227.47280515018207,-65.71194202704912,0.0013838503012947039,0.9996029591071103,0.6540034940207763,0.8397252832326496,0.4514732706115621
0.07014028056112225,0.34859862816675924,-0.17221442922092897,233.32621442934277,-69.7643022972373,0.001400197567483866,0.9995779561487718,0.6708222833940714,0.829841497557133,0.4769363943676501
0.0721442885771543,0.3538284437970886,-0.18270748200910286,239.01450723080154,-74.01450723080154,0.0014152245651450116,0.999552363388522,0.6871666382749049,0.8194751648918436,0.5026827988233464
0.07414829659318636,0.3585790379515411,-0.1934259757092731,244.0485922493905,-79.0485922493905,0.0014288746003076308,0.9995262207734944,0.7016312368664198,0.8071969334221248,0.5272739028961295
0.07615230460921843,0.3628315146700493,-0.20435162383607386,249.0865162453035,-84.07865113209408,0.0014410933786011735,0.9994995729047829,0.7161068661151027,0.7949285217762959,0.5525964816808747
0.0781563126252505,0.36656770364405505,-0.21546438156799905,254.35435037904722,-88.8675912536793,0.0014518286906929398,0.999472468672098,0.7312431035663807,0.783248203488003,0.5793482377390835
0.08016032064128256,0.3697703863426195,-0.2267424343322512,259.62218451279097,-93.65653137526449,0.0014610310620235113,0.9994449612816078,0.7463793410176587,0.77156788519971,0.6068312503107947
0.08216432865731463,0.3724238765992971,-0.2381621462889759,264.46564005948136,-98.87160733761606,0.0014686554210257153,0.9994171083815864,0.7602961978089173,0.7588482132908181,0.6336926323716405
