t_norm,sim_x,sim_y,real_x_interp,real_y_interp,sim_x_norm,sim_y_norm,real_x_interp_norm,real_y_interp_norm
0.0,0.0,0.0,0.0,0.0,0.0003984376156169497,0.9999979494987775,0.0003984376156169497,0.9999979494987775
4.2315504400812456e-05,0.0006853125000000071,4.166666700000654e-05,0.3381008801624915,-0.019888287068381853,0.0004004061499314939,0.9999980511245862,0.0013696196448042995,0.9999494415810032
8.463100880162491e-05,0.0013702302634458208,8.225297501474049e-05,0.676201760324983,-0.03977657413676371,0.00040237355038017083,0.9999981501153783,0.0023408016739916494,0.9999009336632291
0.00012694651320243737,0.0020547515071655253,0.00012176060569241143,1.0143026404874746,-0.05966486120514557,0.0004043398118408865,0.9999982464752556,0.0033119837031789995,0.9998524257454549
0.00016926201760324982,0.0027388744537168164,0.00016019124194233125,1.352403520649966,-0.07955314827352741,0.0004063049292080049,0.9999983402083226,0.004283165732366349,0.9998039178276806
0.00021157752200406227,0.0034225973313853075,0.0001975465679199262,1.6905044008124577,-0.09944143534190927,0.00040826889739234315,0.9999984313186868,0.0052543477615537,0.9997554099099064
0.00025389302640487475,0.0041059183741825045,0.00023382826901302556,2.0286052809749493,-0.11932972241029113,0.000410231711321166,0.9999985198104593,0.006225529790741049,0.9997069019921323
0.00029620853080568717,0.004788835821843723,0.0002690380318275398,2.3667061611374405,-0.13921800947867297,0.00041219336593817943,0.9999986056877535,0.007196711819928398,0.9996583940743581
0.00033852403520649965,0.005471347919826813,0.0003031775441726392,2.704807041299932,-0.15910629654705483,0.00041415385620352735,0.9999986889546861,0.008167893849115749,0.9996098861565837
0.0003808395396073121,0.006153452919309604,0.00033624849504709786,3.0429079214624237,-0.1789945836154367,0.00041611317709378405,0.9999987696153764,0.009139075878303099,0.9995613782388095
0.00042315504400812455,0.0068351490771880186,0.00036825257462475003,3.3810088016249153,-0.19888287068381855,0.0004180713236019487,0.999998847673947,0.01011025790749045,0.9995128703210354
0.000465470548408937,0.007516434656074322,0.00039919147424033463,3.719109681787407,-0.2187711577522004,0.00042002829073744055,0.9999989231345231,0.011081439936677798,0.9994643624032612
0.0005077860528097495,0.008197307924294517,0.00042906688637522894,4.057210561949899,-0.23865944482058227,0.00042198407352609144,0.9999989960012325,0.01205262196586515,0.999415854485487
0.000550101557210562,0.008877767155886507,0.00045788050464351526,4.39531144211239,-0.2585477318889641,0.00042393866701014027,0.9999990662782062,0.0130238039950525,0.9993673465677129
