expID;temps;x;y; speedX; speedY
1;162;625;493;-20.15625;16.666666666666668
1;163;618;497;-28.21875;16.666666666666668
1;164;611;501;-28.21875;16.666666666666668
1;165;605;505;-24.187499999999996;16.666666666666668
1;166;598;507;-28.21875;8.333333333333334
1;167;591;510;-28.21875;12.5
1;168;578;512;-52.40625;8.333333333333334
1;169;572;512;-24.187499999999996;0.0
1;170;567;512;-20.15625;0.0
1;171;561;510;-24.187499999999996;-8.333333333333334
1;172;556;508;-20.15625;-8.333333333333334
1;173;550;505;-24.187499999999996;-12.5
1;174;545;502;-20.15625;-12.5
1;175;540;497;-20.15625;-20.833333333333332
1;176;535;492;-20.15625;-20.833333333333332
1;177;530;487;-20.15625;-20.833333333333332
1;178;525;481;-20.15625;-25.0
1;179;521;473;-16.125;-33.333333333333336
1;180;517;467;-16.125;-25.0
1;181;514;460;-12.093749999999998;-29.16666666666667
1;182;510;452;-16.125;-33.333333333333336
1;183;508;444;-8.0625;-33.333333333333336
1;184;506;435;-8.0625;-37.5
1;185;505;426;-4.03125;-37.5
1;186;503;416;-8.0625;-41.666666666666664
1;187;502;406;-4.03125;-41.666666666666664
1;188;502;396;0.0;-41.666666666666664
1;189;502;385;0.0;-45.833333333333336
1;190;503;375;4.03125;-41.666666666666664
1;191;504;365;4.03125;-41.666666666666664
1;192;507;356;12.093749999999998;-37.5
1;193;509;346;8.0625;-41.666666666666664
1;194;513;335;16.125;-45.833333333333336
1;195;517;324;16.125;-45.833333333333336
1;196;521;315;16.125;-37.5
1;197;530;298;36.28125;-70.83333333333334
1;198;536;290;24.187499999999996;-33.333333333333336
1;199;542;283;24.187499999999996;-29.16666666666667
1;200;548;277;24.187499999999996;-25.0
1;201;555;270;28.21875;-29.16666666666667
1;202;562;264;28.21875;-25.0
1;203;569;259;28.21875;-20.833333333333332
1;204;576;255;28.21875;-16.666666666666668
1;205;583;252;28.21875;-12.5
1;206;589;249;24.187499999999996;-12.5
1;207;596;248;28.21875;-4.166666666666667
1;208;603;246;28.21875;-8.333333333333334
1;209;610;245;28.21875;-4.166666666666667
1;210;617;244;28.21875;-4.166666666666667
1;211;624;245;28.21875;4.166666666666667
1;212;631;246;28.21875;4.166666666666667
1;213;638;248;28.21875;8.333333333333334
1;214;644;250;24.187499999999996;8.333333333333334
1;215;649;252;20.15625;8.333333333333334
1;216;654;256;20.15625;16.666666666666668
1;217;659;260;20.15625;16.666666666666668
1;218;663;264;16.125;16.666666666666668
1;219;667;270;16.125;25.0
1;220;671;275;16.125;20.833333333333332
1;221;674;281;12.093749999999998;25.0
1;222;676;288;8.0625;29.16666666666667
1;223;679;294;12.093749999999998;25.0
1;224;678;299;-4.03125;20.833333333333332
1;225;680;308;8.0625;37.5
1;226;678;322;-8.0625;58.33333333333334
1;227;677;330;-4.03125;33.333333333333336
1;228;674;336;-12.093749999999998;25.0
1;229;671;344;-12.093749999999998;33.333333333333336
1;230;672;358;4.03125;58.33333333333334
1;231;668;367;-16.125;37.5
1;232;663;376;-20.15625;37.5
1;233;657;383;-24.187499999999996;29.16666666666667
1;234;651;391;-24.187499999999996;33.333333333333336
1;235;644;398;-28.21875;29.16666666666667
1;236;637;404;-28.21875;25.0
1;237;629;410;-32.25;25.0
1;238;621;416;-32.25;25.0
1;239;613;420;-32.25;16.666666666666668
1;240;604;424;-36.28125;16.666666666666668
1;241;595;426;-36.28125;8.333333333333334
1;242;586;428;-36.28125;8.333333333333334
1;243;577;429;-36.28125;4.166666666666667
1;244;569;429;-32.25;0.0
1;245;561;429;-32.25;0.0
1;246;553;428;-32.25;-4.166666666666667
1;247;546;426;-28.21875;-8.333333333333334
1;248;538;424;-32.25;-8.333333333333334
1;249;532;421;-24.187499999999996;-12.5
1;250;525;417;-28.21875;-16.666666666666668
1;251;519;412;-24.187499999999996;-20.833333333333332
1;252;513;407;-24.187499999999996;-20.833333333333332
1;253;509;403;-16.125;-16.666666666666668
1;254;504;397;-20.15625;-25.0
1;255;498;386;-24.187499999999996;-45.833333333333336
1;256;496;381;-8.0625;-20.833333333333332
1;257;495;374;-4.03125;-29.16666666666667
1;258;495;368;0.0;-25.0
1;259;494;362;-4.03125;-25.0
1;260;495;355;4.03125;-29.16666666666667
1;261;496;348;4.03125;-29.16666666666667
1;262;498;342;8.0625;-25.0
1;263;501;335;12.093749999999998;-29.16666666666667
1;264;503;330;8.0625;-20.833333333333332
1;265;507;324;16.125;-25.0
1;266;510;320;12.093749999999998;-16.666666666666668
1;267;515;315;20.15625;-20.833333333333332
1;268;519;311;16.125;-16.666666666666668
1;269;525;307;24.187499999999996;-16.666666666666668
1;270;531;304;24.187499999999996;-12.5
1;271;538;301;28.21875;-12.5
1;272;545;299;28.21875;-8.333333333333334
1;273;552;297;28.21875;-8.333333333333334
1;274;559;296;28.21875;-4.166666666666667
1;275;567;295;32.25;-4.166666666666667
1;276;574;295;28.21875;0.0
1;277;581;295;28.21875;0.0
1;278;588;296;28.21875;4.166666666666667
1;279;595;298;28.21875;8.333333333333334
1;280;603;302;32.25;16.666666666666668
1;281;610;305;28.21875;12.5
1;282;617;310;28.21875;20.833333333333332
1;283;624;314;28.21875;16.666666666666668
1;284;631;319;28.21875;20.833333333333332
1;285;636;324;20.15625;20.833333333333332
1;286;641;330;20.15625;25.0
1;287;646;336;20.15625;25.0
1;288;649;343;12.093749999999998;29.16666666666667
1;289;652;350;12.093749999999998;29.16666666666667
1;290;654;357;8.0625;29.16666666666667
1;291;656;364;8.0625;29.16666666666667
1;292;657;372;4.03125;33.333333333333336
1;293;658;379;4.03125;29.16666666666667
1;294;658;386;0.0;29.16666666666667
1;295;657;392;-4.03125;25.0
1;296;656;398;-4.03125;25.0
1;297;654;403;-8.0625;20.833333333333332
1;298;651;408;-12.093749999999998;20.833333333333332
1;299;648;412;-12.093749999999998;16.666666666666668
1;300;645;416;-12.093749999999998;16.666666666666668
1;301;641;420;-16.125;16.666666666666668
1;302;636;423;-20.15625;12.5
1;303;631;425;-20.15625;8.333333333333334
1;304;626;427;-20.15625;8.333333333333334
1;305;620;428;-24.187499999999996;4.166666666666667
1;306;614;428;-24.187499999999996;0.0
1;307;609;428;-20.15625;0.0
1;308;603;427;-24.187499999999996;-4.166666666666667
1;309;593;423;-40.3125;-16.666666666666668
1;310;588;420;-20.15625;-12.5
1;311;583;416;-20.15625;-16.666666666666668
1;312;579;411;-16.125;-20.833333333333332
1;313;571;400;-32.25;-45.833333333333336
1;314;566;393;-20.15625;-29.16666666666667
1;315;563;386;-12.093749999999998;-29.16666666666667
1;316;560;378;-12.093749999999998;-33.333333333333336
1;317;558;370;-8.0625;-33.333333333333336
1;318;557;361;-4.03125;-37.5
1;319;556;353;-4.03125;-33.333333333333336
1;320;557;345;4.03125;-33.333333333333336
1;321;558;337;4.03125;-33.333333333333336
1;322;561;330;12.093749999999998;-29.16666666666667
1;323;566;316;20.15625;-58.33333333333334
1;324;573;305;28.21875;-45.833333333333336
1;325;577;301;16.125;-16.666666666666668
1;326;581;297;16.125;-16.666666666666668
1;327;584;294;12.093749999999998;-12.5
1;328;588;293;16.125;-4.166666666666667
1;329;592;293;16.125;0.0
1;330;597;292;20.15625;-4.166666666666667
1;331;601;292;16.125;0.0
1;332;605;294;16.125;8.333333333333334
1;333;609;296;16.125;8.333333333333334
1;334;613;298;16.125;8.333333333333334
1;335;617;302;16.125;16.666666666666668
1;336;620;306;12.093749999999998;16.666666666666668
1;337;623;311;12.093749999999998;20.833333333333332
1;338;626;316;12.093749999999998;20.833333333333332
1;339;628;321;8.0625;20.833333333333332
1;340;630;334;8.0625;54.16666666666667
1;341;630;340;0.0;25.0
1;342;629;347;-4.03125;29.16666666666667
1;343;628;354;-4.03125;29.16666666666667
1;344;625;363;-12.093749999999998;37.5
1;345;622;371;-12.093749999999998;33.333333333333336
1;346;618;378;-16.125;29.16666666666667
1;347;613;385;-20.15625;29.16666666666667
1;348;608;390;-20.15625;20.833333333333332
1;349;602;394;-24.187499999999996;16.666666666666668
1;350;596;397;-24.187499999999996;12.5
1;351;590;400;-24.187499999999996;12.5
1;352;585;402;-20.15625;8.333333333333334
1;353;579;403;-24.187499999999996;4.166666666666667
1;354;573;403;-24.187499999999996;0.0
1;355;567;403;-24.187499999999996;0.0
1;356;562;402;-20.15625;-4.166666666666667
1;357;557;399;-20.15625;-12.5
1;358;553;397;-16.125;-8.333333333333334
1;359;550;394;-12.093749999999998;-12.5
1;360;547;389;-12.093749999999998;-20.833333333333332
1;361;544;385;-12.093749999999998;-16.666666666666668
1;362;543;381;-4.03125;-16.666666666666668
1;363;541;376;-8.0625;-20.833333333333332
1;364;541;371;0.0;-20.833333333333332
1;365;542;365;4.03125;-25.0
1;366;543;361;4.03125;-16.666666666666668
1;367;548;350;20.15625;-45.833333333333336
1;368;557;340;36.28125;-41.666666666666664
1;369;561;336;16.125;-16.666666666666668
1;370;567;333;24.187499999999996;-12.5
1;371;574;331;28.21875;-8.333333333333334
1;372;580;329;24.187499999999996;-8.333333333333334
1;373;587;328;28.21875;-4.166666666666667
1;374;594;328;28.21875;0.0
1;375;600;329;24.187499999999996;4.166666666666667
1;376;607;331;28.21875;8.333333333333334
1;377;612;334;20.15625;12.5
1;378;618;337;24.187499999999996;12.5
1;379;623;341;20.15625;16.666666666666668
1;380;627;347;16.125;25.0
1;381;630;352;12.093749999999998;20.833333333333332
1;382;633;358;12.093749999999998;25.0
1;383;634;363;4.03125;20.833333333333332
1;384;635;369;4.03125;25.0
1;385;635;375;0.0;25.0
1;386;634;380;-4.03125;20.833333333333332
1;387;632;384;-8.0625;16.666666666666668
1;388;630;388;-8.0625;16.666666666666668
1;389;627;392;-12.093749999999998;16.666666666666668
1;390;624;394;-12.093749999999998;8.333333333333334
1;391;619;397;-20.15625;12.5
1;392;615;398;-16.125;4.166666666666667
1;393;610;398;-20.15625;0.0
1;394;605;398;-20.15625;0.0
1;395;600;397;-20.15625;-4.166666666666667
1;396;595;395;-20.15625;-8.333333333333334
1;397;585;389;-40.3125;-25.0
1;398;581;385;-16.125;-16.666666666666668
1;399;577;380;-16.125;-20.833333333333332
1;400;572;377;-20.15625;-12.5
1;401;569;373;-12.093749999999998;-16.666666666666668
1;402;566;368;-12.093749999999998;-20.833333333333332
1;403;564;363;-8.0625;-20.833333333333332
1;404;563;358;-4.03125;-20.833333333333332
1;405;563;352;0.0;-25.0
1;406;563;346;0.0;-25.0
1;407;564;342;4.03125;-16.666666666666668
1;408;566;337;8.0625;-20.833333333333332
1;409;568;332;8.0625;-20.833333333333332
1;410;571;329;12.093749999999998;-12.5
1;411;573;326;8.0625;-12.5
1;412;577;325;16.125;-4.166666666666667
1;413;580;324;12.093749999999998;-4.166666666666667
1;414;583;323;12.093749999999998;-4.166666666666667
1;415;586;324;12.093749999999998;4.166666666666667
1;416;590;326;16.125;8.333333333333334
1;417;593;329;12.093749999999998;12.5
1;418;596;331;12.093749999999998;8.333333333333334
1;419;599;331;12.093749999999998;0.0
1;420;602;332;12.093749999999998;4.166666666666667
1;421;605;334;12.093749999999998;8.333333333333334
1;422;607;335;8.0625;4.166666666666667
1;423;609;337;8.0625;8.333333333333334
1;424;612;338;12.093749999999998;4.166666666666667
1;425;614;340;8.0625;8.333333333333334
1;426;615;342;4.03125;8.333333333333334
1;427;617;344;8.0625;8.333333333333334
1;428;618;346;4.03125;8.333333333333334
1;429;620;349;8.0625;12.5
1;430;620;350;0.0;4.166666666666667
1;431;621;352;4.03125;8.333333333333334
1;432;622;354;4.03125;8.333333333333334
1;433;622;356;0.0;8.333333333333334
1;434;622;357;0.0;4.166666666666667
1;435;622;359;0.0;8.333333333333334
1;436;622;361;0.0;8.333333333333334
1;437;622;362;0.0;4.166666666666667
1;438;622;364;0.0;8.333333333333334
1;439;622;366;0.0;8.333333333333334
1;440;621;367;-4.03125;4.166666666666667
1;441;620;369;-4.03125;8.333333333333334
1;442;620;370;0.0;4.166666666666667
1;443;619;372;-4.03125;8.333333333333334
1;444;618;373;-4.03125;4.166666666666667
1;445;618;375;0.0;8.333333333333334
1;446;617;376;-4.03125;4.166666666666667
1;447;616;377;-4.03125;4.166666666666667
1;448;615;378;-4.03125;4.166666666666667
1;449;614;379;-4.03125;4.166666666666667
1;450;613;380;-4.03125;4.166666666666667
1;451;612;381;-4.03125;4.166666666666667
1;452;611;382;-4.03125;4.166666666666667
1;453;608;384;-12.093749999999998;8.333333333333334
1;454;606;384;-8.0625;0.0
1;455;605;385;-4.03125;4.166666666666667
1;456;604;386;-4.03125;4.166666666666667
1;457;603;386;-4.03125;0.0
1;458;603;386;0.0;0.0
1;459;602;386;-4.03125;0.0
1;460;601;387;-4.03125;4.166666666666667
1;461;600;387;-4.03125;0.0
1;462;600;387;0.0;0.0
1;463;600;387;0.0;0.0
1;464;599;387;-4.03125;0.0
1;465;599;387;0.0;0.0
1;466;599;387;0.0;0.0
1;467;599;387;0.0;0.0
1;468;599;387;0.0;0.0
1;469;599;387;0.0;0.0
1;470;599;387;0.0;0.0
1;471;599;387;0.0;0.0
1;472;600;387;4.03125;0.0
1;473;600;387;0.0;0.0
1;474;600;387;0.0;0.0
1;475;601;387;4.03125;0.0
1;476;601;387;0.0;0.0
1;477;601;386;0.0;-4.166666666666667
1;478;602;386;4.03125;0.0
1;479;602;386;0.0;0.0
1;480;603;386;4.03125;0.0
1;481;603;386;0.0;0.0
1;482;604;386;4.03125;0.0
1;483;604;386;0.0;0.0
1;484;604;386;0.0;0.0
1;485;605;385;4.03125;-4.166666666666667
1;486;605;385;0.0;0.0
1;487;606;385;4.03125;0.0
1;488;606;385;0.0;0.0
1;489;607;385;4.03125;0.0
1;490;607;385;0.0;0.0
1;491;607;385;0.0;0.0
1;492;607;384;0.0;-4.166666666666667
1;493;607;384;0.0;0.0
1;494;607;384;0.0;0.0
1;495;607;384;0.0;0.0
1;496;607;384;0.0;0.0
1;497;608;384;4.03125;0.0
1;498;608;384;0.0;0.0
