t,r_x,r_y,v_x,v_y,Em
0.0,-0.2244375,0.295833333,0.6853125,0.041666667,3299.7253365659717
0.001,-0.2237521875,0.295874999667,0.6859720511146843,0.04064878214862892,3300.63372028328
0.002,-0.22306621544888533,0.29591564844914864,0.6866316061620323,0.03962780407530403,3301.5468989012047
0.003,-0.2223795838427233,0.29595527625322393,0.6872911603829489,0.03860372008986954,3302.464893985163
0.004,-0.22169229268234036,0.2959938799733138,0.6879507089660107,0.037576517438443396,3303.387727217382
0.005,-0.22100434197337435,0.29603145649075224,0.6886102470469353,0.03654618330307402,3304.3154203976032
0.006,-0.2203157317263274,0.2960680026740553,0.6892697697080437,0.035512704801395595,3305.247995443769
0.007,-0.21962646195661936,0.2961035153788567,0.6899292719777181,0.03447606898628174,3306.1854743927247
0.008,-0.21893653268464164,0.296137991447843,0.6905887488298535,0.03343626284549765,3307.127879400929
0.009000000000000001,-0.2182459439358118,0.2961714277106885,0.6912481951833029,0.03239327330135068,3308.0752327451532
0.01,-0.2175546957406285,0.29620382098398984,0.6919076059013176,0.031347087210339374,3309.027556823202
0.011,-0.21686278813472717,0.2962351680712002,0.6925669757909808,0.03029769136280097,3309.9848741546175
0.012,-0.2161702211589362,0.296265465762563,0.6932262996026355,0.02924507248255737,3310.9472073814145
0.013000000000000001,-0.21547699485933355,0.29629471083504555,0.6938855720293059,0.028189217226559534,3311.914579268792
0.014,-0.21478310928730424,0.29632290005227213,0.6945447877061133,0.02713011218453039,3312.8870127058663
0.015,-0.21408856449959812,0.29635003016445666,0.6952039412096851,0.026067743878606185,3313.864530706406
0.016,-0.21339336055838842,0.29637609790833525,0.6958630270575575,0.025002098762976346,3314.8471564095585
0.017,-0.21269749753133085,0.29640110000709824,0.6965220397075726,0.02393316322352179,3315.834913080601
0.018000000000000002,-0.21200097549162328,0.29642503317032176,0.6971809735572679,0.022860923577451765,3316.827824111678
0.019,-0.21130379451806602,0.2964478940938992,0.69783982294326,0.021785366072939145,3317.8259130225492
0.02,-0.21060595469512278,0.29646967945997216,0.6984985821406214,0.020706476888754266,3318.8292034613446
0.021,-0.20990745611298214,0.2964903859368609,0.6991572453622511,0.019624242133897258,3319.837719205319
0.022,-0.20920829886761988,0.2965100101789948,0.6998158067582374,0.018538647847228886,3320.851484161611
0.023,-0.20850848306086164,0.29652854882684204,0.700474260415215,0.017449679997099933,3321.870522368007
0.024,-0.20780800880044642,0.29654599850683916,0.7011326003557146,0.016357324480979114,3322.894857993719
0.025,-0.20710687620009072,0.2965623558313201,0.7017908205375054,0.015261567125079516,3323.924515340139
0.026000000000000002,-0.2064050853795532,0.2965776173984452,0.7024489148529308,0.014162393683983622,3324.9595188416292
0.027,-0.20570263646470027,0.29659177979212914,0.7031068771282369,0.013059789840266862,3325.9998930663
0.028,-0.20499952958757203,0.2966048395819694,0.7037647011228937,0.011953741204119763,3327.0456627167923
0.029,-0.20429576488644913,0.29661679332317353,0.7044223805289087,0.01084423331296866,3328.096852631064
0.03,-0.20359134250592023,0.2966276375564865,0.7050799089701337,0.009731251631095018,3329.1534877831873
0.031,-0.20288626259695008,0.29663736880811764,0.7057372800015639,0.008614781549253343,3330.215593284143
0.032,-0.20218052531694852,0.2966459835896669,0.7063944871086287,0.007494808384287715,3331.2831943826245
0.033,-0.2014741308298399,0.2966534783980512,0.7070515237064762,0.006371317378746958,3332.3563164658335
0.034,-0.2007670793061334,0.2966598497154299,0.7077083831392486,0.005244293700498434,3333.434985060305
0.035,-0.20005937092299417,0.29666509400913044,0.7083650586793506,0.004113722442340506,3334.519225832702
0.036000000000000004,-0.1993510058643148,0.2966692077315728,0.7090215435267099,0.0029795886216136594,3335.609064590644
0.037,-0.1986419843207881,0.2966721873201944,0.7096778308080286,0.0018418771798103203,3336.704527283527
0.038,-0.1979323064899801,0.29667402919737423,0.7103339135760284,0.000700572982183355,3337.8056400033456
0.039,-0.19722197257640406,0.2966747297703564,0.7109897848086856,-0.00044433918264670264,3338.9124289855245
0.04,-0.19651098279159537,0.29667428543117375,0.7116454374084592,-0.0015928746030857027,3340.0249206097524
0.041,-0.19579933735418692,0.29667269255657064,0.7123008642015098,-0.002745048644961175,3341.143141400813
0.042,-0.1950870364899854,0.2966699475079257,0.7129560579369107,-0.0039008767519188702,3342.2671180294383
0.043000000000000003,-0.19437408043204848,0.2966660466311738,0.7136110112858498,-0.005060374445820506,3343.3968773131455
0.044,-0.19366046942076265,0.296660986256728,0.714265716840823,-0.006223557327142725,3344.5324462170834
0.045,-0.19294620370392182,0.29665476269940083,0.7149201671148189,-0.007390441075377221,3345.6738518548937
0.046,-0.192231283536807,0.29664737225832544,0.7155743545404949,-0.008561041449432033,3346.821121489567
0.047,-0.19151570918226649,0.296638811216876,0.7162282714693436,-0.009735374288033964,3347.974282534302
0.048,-0.19079948091079715,0.29662907584258796,0.7168819101708511,-0.01091345551013213,3349.1333625533694
0.049,-0.1900825990006263,0.29661816238707783,0.7175352628316448,-0.012095301115302595,3350.298389262984
0.05,-0.18936506373779466,0.29660606708596254,0.7181883215546333,-0.01328092718415408,3351.4693905321838
0.051000000000000004,-0.18864687541624003,0.2965927861587784,0.7188410783581357,-0.014470349878734719,3352.6463943836898
0.052000000000000005,-0.1879280343378819,0.29657831580889965,0.7194935251750024,-0.015663585442939835,3353.82942899481
0.053,-0.1872085408127069,0.29656265222345674,0.7201456538517257,-0.016860650202920716,3355.018522698305
0.054,-0.18648839515885518,0.29654579157325384,0.7207974561475405,-0.018061560567494358,3356.2137039832905
0.055,-0.18576759770270765,0.29652773001268634,0.7214489237335159,-0.01926633302855416,3357.4150014961224
0.056,-0.18504614877897413,0.2965084636796578,0.7221000481916359,-0.020474984161481524,3358.6224440412934
0.057,-0.18432404873078248,0.2964879886954963,0.722750821013871,-0.021687530625558355,3359.8360605823423
0.058,-0.18360129790976862,0.29646630116487077,0.7234012336012389,-0.0229039891643804,3361.0558802427513
0.059000000000000004,-0.18287789667616738,0.2964433971757064,0.724051277262855,-0.02412437660627144,3362.2819323068525
0.06,-0.18215384539890453,0.29641927279910013,0.724700943214973,-0.025348709864698237,3363.5142462207427
0.061,-0.18142914445568956,0.2963939240892354,0.7253502225800144,-0.0265770059386863,3364.7528515932017
0.062,-0.18070379423310953,0.29636734708329676,0.7259991063855872,-0.02780928191323633,3365.997778196607
0.063,-0.17997779512672393,0.2963395378013835,0.7266475855634947,-0.029045554959741378,3367.249055967859
0.064,-0.17925114754116045,0.29631049224642375,0.7272956509487328,-0.030285842336404675,3368.5067150093128
0.065,-0.17852385189021172,0.29628020640408737,0.7279432932784757,-0.03153016138865806,3369.7707855896956
